Facility_Name,Reg_No,Address,Facility_Type,Level,Bed_Capacity,County,status,View
ELITE IMPLANT & AESTHITIC MEDICAL CENTER,023xxx,P.O BOX 00100-00100 NAIROBI,MEDICAL CENTRE,LEVEL 3B,0,NAIROBI,Active,
MOLO RIVERSIDE IMAGING AND HOSPITAL LIMITED,023xxx,P.O BOX 176-20106 MOLO,NURSING HOME,LEVEL 3A,70,NAKURU,Active,
SAMAFAL MEDICAL CENTRE LIMITED,023xxx,P.O BOX 112-70200 WAJIR,MEDICAL CENTRE,LEVEL 3B,20,WAJIR,Active,
ZABII MEDICAL CENTRE,023xxx,P.O BOX 807-80109 MTWAPA,MEDICAL CLINIC,LEVEL 2,0,KILIFI,Active,
EXCEL WELLNESS CENTRE LIMITED,023xxx,P.O BOX 51758-00200 NAIROBI,NURSING HOME,LEVEL 3A,21,NAIROBI,Active,
LINK SPECIALIZED HOSPITAL LIMITED,023xxx,P.O BOX 45569-00100 NAIROBI,MEDICAL CENTRE,LEVEL 3B,30,NAIROBI,Active,
EQUITY AFIA GACHIE,023xxx,P.O BOX 7431-00100 NAIROBI,MEDICAL CENTRE,LEVEL 3B,0,KIAMBU,Active,
KITENGELA MEDICAL SERVICES LIMITED-ENKASITI,023xxx,P.O BOX 352-00242 KITENGELA,MEDICAL CLINIC,LEVEL 2,0,KAJIADO,Active,
MOMBASA LAPAROSCOPCY AND FERTILITY CENTRE LIMITED,023xxx,P.O BOX 40448-80100 MOMBASA,MEDICAL CENTRE,LEVEL 3B,3,MOMBASA,Active,
WESTANA MEDICAL CENTRE & DENTAL SPECIALISTS LIMITED,023xxx,P.O BOX 3109-40100 KISUMU,MEDICAL CENTRE,LEVEL 3B,15,VIHIGA,Active,
AFRIHOSPITAL HOLDINGS LIMITED-KISUMU,023xxx,P.O BOX 3421-00506 NAIROBI,MEDICAL CENTRE,LEVEL 3B,0,KISUMU,Active,
UNIVERSAL TRENDS MEDICAL AND DIAGNOSTIC CENTRE LTD,023xxx,P.O BOX 52580-00100 NAIROBI,MEDICAL CENTRE,LEVEL 3B,0,NAIROBI,Active,
JEXMED DENTAL CLINIC LTD,023xxx,P.O BOX 1541-00200 NAIROBI,DENTAL CLINIC,LEVEL 2,0,NAIROBI,Active,
DELIGHT DENTAL LIMITED-KISII,023xxx,P.O BOX 143-40200 KISII,DENTAL CLINIC,LEVEL 2,0,KISII,Active,
SOUTH EASTERN KENYA UNIVERSITY HEALTH UNIT,023xxx,P.O BOX 170-90200 KITUI,MEDICAL CLINIC,LEVEL 2,0,KITUI,Active,
TOP VALLEY HOSPITAL,023xxx,P.O BOX 1114-50400 BUSIA,MEDICAL CENTRE,LEVEL 3B,25,BUSIA,Active,
WESTCARE MEDICAL CENTRE,023xxx,P.O BOX 15832-20100 NAKURU,MEDICAL CENTRE,LEVEL 3A,20,NAKURU,Active,
CIALA HOSPITAL KISUMU LIMITED,023xxx,P.O BOX 1220-00100 NAIROBI,NURSING HOME,LEVEL 3A,30,KISUMU,Active,
THE UNITEDSMILES DENTAL CLINIC NAIVASHA,023xxx,P.O BOX 127-20303 OLKALOU,DENTAL CLINIC,LEVEL 2,0,NAKURU,Active,
AKIRA LEGACY HEALTH AND WELLNESS LTD,023xxx,P.O BOX 2194-00202 NAIROBI,MEDICAL CENTRE,LEVEL 3B,0,NAIROBI,Active,
EVOLVE WELL HEALTHCARE SERVICES LIMITED,023xxx,P.O BOX 310-00515 NAIROBI,MEDICAL CENTRE,LEVEL 3B,0,NAIROBI,Active,
MORRIS MEDICAL CLINIC,023xxx,P.O BOX 80-80100 MOMBASA,MEDICAL CLINIC,LEVEL 2,0,MOMBASA,Active,
BLUE SHIELD DENTAL,023xxx,P.O BOX 8074-01000 THIKA,DENTAL CLINIC,LEVEL 2,0,MURANG'A,Active,
KINMED HEALTH SERVICES,023xxx,P.O BOX 1622-20300 NYAHURURU,MEDICAL CLINIC,LEVEL 2,0,NAKURU,Active,
ROYAL SMILES DENTAL CLINIC LIMITED-MERU,023xxx,P.O BOX 35334-00100 NAIROBI,DENTAL CLINIC,LEVEL 2,0,MERU,Active,
EL-ADOW NURSING HOME AND MATERNITY SERVICES LIMITED,023xxx,P.O BOX 307-70200 WAJIR,MEDICAL CENTRE,LEVEL 3B,20,WAJIR,Active,
MOBEL MEDICAL SPECIALISTS SERVICES LIMITED,023xxx,P.O BOX 183-10103 MUKURWEINI,MEDICAL CENTRE,LEVEL 3B,0,NYERI,Active,
CARE GIVERS COMMUNITY HOSPITAL LIMITED,023xxx,P.O BOX 224-00200 KITENGELA,NURSING HOME,LEVEL 3A,60,KAJIADO,Active,
COLORADO MEDICAL CARE,023xxx,P.O BOX 1266-80100 MOMBASA,MEDICAL CLINIC,LEVEL 2,0,MOMBASA,Active,
ZETIC HOSPITAL LIMITED,023xxx,P.O BOX 7631-01000 THIKA,NURSING HOME,LEVEL 3A,56,EMBU,Active,
PARK SMILES DENTAL CENTRE LTD,023xxx,P.O BOX 390-00517 NAIROBI,DENTAL CLINIC,LEVEL 2,0,NAIROBI,Active,
ACUTEST HOSPITALS LTD,023xxx,P.O BOX 7716-01000 THIKA,MEDICAL CLINIC,LEVEL 2,0,KIAMBU,Active,
MUUSYA MEDICARES MASCRAPE,023xxx,P.O BOX 82-80400 UKUNDA,MEDICAL CLINIC,LEVEL 2,0,KWALE,Active,
MOBRO MEDICALL CLINIC,023xxx,P.O BOX 8545-00100 NAIROBI,MEDICAL CLINIC,LEVEL 2,0,NAIROBI,Active,
GMUKS MEDICAL CLINIC,023xxx,P.O BOX 56-  KAGWE,MEDICAL CLINIC,LEVEL 2,0,MURANG'A,Active,
OCEAN CITY MEDICAL CENTRE LTD,023xxx,P.O BOX 85688-80100 MOMBASA,MEDICAL CENTRE,LEVEL 3B,0,MOMBASA,Active,
DORAN LIFE CARE CENTRE,023xxx,P.O BOX 37-50100 KAKAMEGA,MEDICAL CENTRE,LEVEL 3B,0,KAKAMEGA,Active,
MANGROOVE MEDICARE LIMITED,023xxx,P.O BOX 6971-70200 WAJIR,MEDICAL CENTRE,LEVEL 3B,20,WAJIR,Active,
KYOME HOSPITAL TALA,023xxx,P.O BOX 528-00522 NAIROBI,MEDICAL CENTRE,LEVEL 3B,10,MACHAKOS,Active,
ILARA HEALTH LIMITED,023xxx,P.O BOX 1441-00100 NAIROBI,MEDICAL CENTRE,LEVEL 3B,0,NAIROBI,Active,
NECTAR MEDICAL CLINIC,023xxx,P.O BOX 99-90106 MACHAKOS,MEDICAL CLINIC,LEVEL 2,0,MACHAKOS,Active,
ELEPHANT DENTAL LIMITED- KASARANI,023xxx,P.O BOX 58- KAPCHERO,DENTAL CLINIC,LEVEL 2,0,NAIROBI,Active,
LIAM CARE MEDICAL CLINIC,023xxx,P.O BOX 241-80100 MOMBASA,MEDICAL CLINIC,LEVEL 2,0,KILIFI,Active,
PRINA MEDICAL CENTRE LIMITED,023xxx,P.O BOX 3806-40200 KISII,NURSING HOME,LEVEL 3A,165,KISII,Active,
ANSARI MEDICARE ANNEX LTD,023xxx,P.O BOX 2714-80100 MOMBASA,MEDICAL CENTRE,LEVEL 3B,5,MOMBASA,Active,
ALKAWTHAR WELLNESS CENTRE ANNEX LIMITED,023xxx,P.O BOX 136-70200 WAJIR,HOSPITAL LEVEL 4,LEVEL 4,40,WAJIR,Active,
WAIYAKI WAY MEMORIAL HOSPITAL,023xxx,P.O BOX 381-40200 KISII,MEDICAL CLINIC,LEVEL 2,0,KIAMBU,Active,
MATATA HOSPITAL SATELLITE MEDICAL CENTRE,023xxx,P.O BOX 100-40303 HOMABAY,MEDICAL CENTRE,LEVEL 3B,30,HOMA BAY,Active,
SUREPOINT MEDICAL CENTRE LTD,023xxx,P.O BOX 88-70200 WAJIR,MEDICAL CENTRE,LEVEL 3A,21,WAJIR,Active,
AL-MUNTAHA HOSPITAL LIMITED,023xxx,P.O BOX 14-70302 RHAMU,MEDICAL CENTRE,LEVEL 3B,16,MANDERA,Active,
SIMSIM HEALTHCARE LIMITED,023xxx,P.O BOX 106183-70200 MANDERA,MEDICAL CENTRE,LEVEL 3B,30,MANDERA,Active,
LOKITUANG SUB COUNTY HOSPITAL,GK-xxx,P.O BOX -- -,HOSPITAL LEVEL 4,LEVEL 4,0,TURKANA,Active,
MOI AIRPORT DISPENSARY,GK-xxx,P.O BOX 90274-80100 MOMBASA,DISPENSARY,LEVEL 2,0,MOMBASA,Active,
KENYA TECHNICAL TRAINING COLLEGE DISPENSARY,GK-xxx,P.O BOX 44600-00100 NAIROBI,DISPENSARY,LEVEL 2,0,NAIROBI,Active,
GITHUNGURI HEALTH CENTRE-KIAMBU,GK-xxx,P.O BOX 767-00216 GITHUNGURI,BASIC HEALTH CENTRE,LEVEL 3B,15,KIAMBU,Active,
APDK DISPENSARY MACHAKOS,GK-xxx,P.O BOX 656-90100 MACHAKOS,DISPENSARY,LEVEL 2,0,MACHAKOS,Active,
ELANG\'ATA ENTERIT,GK-xxx,P.O BOX 47-20500 NAROK,DISPENSARY,LEVEL 2,0,NAROK,Active,
KAALEM DISPENSARY,GK-xxx,P.O BOX 3-30504 LOKITAUNG,DISPENSARY,LEVEL 2,0,TURKANA,Active,
NAMEYANA DISPENSARY,GK-xxx,P.O BOX 18-30500 LODWAR,DISPENSARY,LEVEL 2,0,TURKANA,Active,
LOCHOR EMEYAN,GK-xxx,P.O BOX 18-30500 LODWAR,DISPENSARY,LEVEL 2,0,TURKANA,Active,
MLIMA TATU DISPENSARY,GK-xxx,P.O BOX 3-30504 LOKITAUNG,DISPENSARY,LEVEL 2,0,TURKANA,Active,
KACHODA DISPENSARY,GK-xxx,P.O BOX 15-30504 LOKITAUNG,DISPENSARY,LEVEL 2,0,TURKANA,Active,
LORENGIPPI DISPENSARY,GK-xxx,P.O BOX 18-30500 LODWAR,DISPENSARY,LEVEL 2,0,TURKANA,Active,
LOCHOR EKUYEN DISPENSARY,GK-xxx,P.O BOX 18-30500 LODWAR,DISPENSARY,LEVEL 2,0,TURKANA,Active,
KAAPUS DISPENSARY,GK-xxx,P.O BOX 18-30500 LODWAR,DISPENSARY,LEVEL 2,0,TURKANA,Active,
EKICHELES DISPENSARY,GK-xxx,P.O BOX 18-30500 LODWAR,DISPENSARY,LEVEL 2,0,TURKANA,Active,
ELIYE COMMUNITY HEALTH UNIT,GK-xxx,P.O BOX 18-30500 LODWAR,HEALTH CENTRE,LEVEL 3A,6,TURKANA,Active,
LORUTH DISPENSARY,GK-xxx,P.O BOX 18-30500 LODWAR,DISPENSARY,LEVEL 2,0,TURKANA,Active,
NAMON DISPENSARY,GK-xxx,P.O BOX 18-30500 LODWAR,DISPENSARY,LEVEL 2,0,TURKANA,Active,
LOKIRIAMA DISPENSARY,GK-xxx,P.O BOX 18-30500 LODWAR,DISPENSARY,LEVEL 2,0,TURKANA,Active,
NAOROS DISPENSARY,GK-xxx,P.O BOX 18-30500 LODWAR,DISPENSARY,LEVEL 2,0,TURKANA,Active,
GITHONGO SUB-COUNTY HOSPITAL,GK-xxx,P.O BOX 207-60025 GITHONGO,HOSPITAL LEVEL 4,LEVEL 4,40,MERU,Active,
MAKASA DISPENSARY,GK-xxx,P.O BOX 227-90121 EMALI,DISPENSARY,LEVEL 2,0,MAKUENI,Active,
KAPORONO DISPENSARY,GK-xxx,P.O BOX 324-30600 KAPENGURIA,DISPENSARY,LEVEL 2,0,WEST POKOT,Active,
MATIKU DISPENSARY,GK-xxx,P.O BOX 8-90121 EMALI,DISPENSARY,LEVEL 2,0,MAKUENI,Active,
NKOMARU DISPENSARY,GK-xxx,P.O BOX 5-60215 MARIMANTI,DISPENSARY,LEVEL 2,0,MAKUENI,Active,
WERU DISPENSARY,GK-xxx,P.O BOX 65-60400  CHUKA,DISPENSARY,LEVEL 2,0,MAKUENI,Active,
KAPNGETUNY DISPENSARY-NANDI,GK-xxx,P.O BOX 96- KABIYET,DISPENSARY,LEVEL 2,0,NANDI,Active,
BOI DISPENSARY,GK-xxx,P.O BOX 16- KOBUJOI,DISPENSARY,LEVEL 2,0,NANDI,Active,
KESENGEI DISPENSARY,GK-xxx,P.O BOX 381-50308 SEREM,DISPENSARY,LEVEL 2,0,NANDI,Active,
KAPSAGAWAT DISPENSARY,GK-xxx,P.O BOX 4-30305 KOBUJOI,DISPENSARY,LEVEL 2,0,NANDI,Active,
MOSOMBOR DISPENSARY,GK-xxx,P.O BOX 39- KAPCHENO,DISPENSARY,LEVEL 2,0,NANDI,Active,
KIPTEGAA DISPENSARY,GK-xxx,P.O BOX 188-40110 SONGHOR,DISPENSARY,LEVEL 2,0,NANDI,Active,
ARWOS DISPENSARY,GK-xxx,P.O BOX 486-30300 KAPSABET,DISPENSARY,LEVEL 2,0,NANDI,Active,
BOSNIA DISPENSARY,GK-xxx,P.O BOX 52-90300 MAKUENI,DISPENSARY,LEVEL 2,0,MAKUENI,Active,
KATHAMBONI DISPENSARY,GK-xxx,P.O BOX 41- KATHONZWENI,DISPENSARY,LEVEL 2,0,MAKUENI,Active,
TARAMA DISPENSARY,GK-xxx,P.O BOX 75-70303 TAKABA,DISPENSARY,LEVEL 2,0,MANDERA,Active,
KIHURI DISPENSARY,GK-xxx,P.O BOX 84-10106 OTHAYA,DISPENSARY,LEVEL 2,0,NYERI,Active,
KILILI DISPENSARY,GK-xxx,P.O BOX 482-60600 MAUA,DISPENSARY,LEVEL 2,0,MERU,Active,
MUCHARAGE DISPENSARY,GK-xxx,P.O BOX 568-10106 OTHAYA,DISPENSARY,LEVEL 2,0,NYERI,Active,
KALAMENE DISPENSARY,GK-xxx,P.O BOX 482-60600 MERU,DISPENSARY,LEVEL 2,0,MERU,Active,
KANI KARUI DISPENSARY,GK-xxx,P.O BOX 482-60600 MAUA,DISPENSARY,LEVEL 2,0,MERU,Active,
DOMAL DISPENSARY,GK-xxx,P.O BOX 75-70303 TAKABA,DISPENSARY,LEVEL 2,0,MANDERA,Active,
ARDAGARBICHA DISPENSARY,GK-xxx,P.O BOX 75-70303 TAKABA,DISPENSARY,LEVEL 2,0,MANDERA,Active,
KATHELWA DISPENSARY,GK-xxx,P.O BOX 482-60600 MAUA,DISPENSARY,LEVEL 2,0,MERU,Active,
KIANGANDA DISPENSARY,GK-xxx,P.O BOX 248-10106 OTHAYA,DISPENSARY,LEVEL 2,0,NYERI,Active,
GATITU DISPENSARY,GK-xxx,P.O BOX 110-10100 NYERI,DISPENSARY,LEVEL 2,0,NYERI,Active,
KATHIMA DISPENSARY,GK-xxx,P.O BOX 482-60600 MAUA,DISPENSARY,LEVEL 2,0,MERU,Active,
KIARAGO HEALTH CENTRE,GK-xxx,P.O BOX 391-60202 NKUBU,DISPENSARY,LEVEL 2,0,MERU,Active,
KAMBU SUB-COUNTY HOPSITAL,GK-xxx,P.O BOX 72-90137 KIBWEZI,COMPREHENSIVE CENTRE,LEVEL 3A,0,MAKUENI,Active,
RIAMONI DISPENSARY,GK-xxx,P.O BOX 228-40500 KEROKA,DISPENSARY,LEVEL 2,0,NYAMIRA,Active,
KINJO DISPENSARY,GK-xxx,P.O BOX 207-60205 GITHONGO,DISPENSARY,LEVEL 2,0,MERU,Active,
MARATHI DISPENSARY,GK-xxx,P.O BOX 2071-60205 GITHONGO,DISPENSARY,LEVEL 2,0,MERU,Active,
ENOCH DISPESARY,GK-xxx,P.O BOX 47-30602 KAPENGURIA,DISPENSARY,LEVEL 2,0,WEST POKOT,Active,
TUWIT DISPENSARY,GK-xxx,P.O BOX 50- KACHELIBA,DISPENSARY,LEVEL 2,0,WEST POKOT,Active,
MORWONGAR DISPENSARY,GK-xxx,P.O BOX 50- KACHELIBA,DISPENSARY,LEVEL 2,0,WEST POKOT,Active,
TAKAR DISPENSARY,GK-xxx,P.O BOX 63-30600 KAPENGURIA,DISPENSARY,LEVEL 2,0,WEST POKOT,Active,
